Geneid,mDC1,mDC2,IL7R+CCR7-DC,IL7R+CCR7+DC,IL7R-CCR7+DC
FO538757.2,0,0,0,0,0
FO538757.1,1855,1689,1258,757,994
SAMD11,119,92,96,31,44
NOC2L,3276,2694,2221,1106,1748
KLHL17,56,97,61,76,64
PLEKHN1,43,14,154,19,22
PERM1,0,6,17,10,0
HES4,108,40,46,43,48
ISG15,239,232,132,100,168
AGRN,167,68,166,822,226
RNF223,1,0,0,0,0
C1orf159,61,71,45,82,46
TTLL10,2,0,22,0,12
TNFRSF18,18,5,313,138,94
TNFRSF4,4,5,143,127,32
SDF4,2565,2541,2950,2159,1985
B3GALT6,86,80,109,85,66
FAM132A,2,0,4,0,4
UBE2J2,582,613,503,450,471
SCNN1D,27,21,18,2,13
ACAP3,590,453,518,289,346
PUSL1,95,83,62,41,33
CPSF3L,962,754,714,545,588
CPTP,75,46,64,50,36
TAS1R3,4,2,30,6,6
DVL1,381,297,319,241,284
MXRA8,115,76,92,32,57
AURKAIP1,891,1020,743,522,618
CCNL2,3034,2504,2752,2260,2769
MRPL20,576,491,460,309,389
ANKRD65,86,23,21,11,21
TMEM88B,0,0,0,0,0
VWA1,4,0,2,2,12
ATAD3C,6,10,8,10,11
ATAD3B,707,596,663,378,474
ATAD3A,1503,1203,1292,601,1024
TMEM240,0,2,3,0,0
SSU72,1877,2288,1226,873,1360
FNDC10,8,10,4,0,0
MIB2,387,349,298,130,260
MMP23B,8,8,8,0,3
CDK11B,9589,9173,6770,6889,7042
SLC35E2B,745,393,516,563,488
CDK11A,12458,10836,9269,9771,10143
SLC35E2,136,51,117,77,125
NADK,1491,1203,1194,1231,1307
GNB1,12756,12495,9254,10247,7764
CALML6,2,2,2,0,6
TMEM52,2,0,6,0,8
CFAP74,0,0,0,2,1
GABRD,0,2,0,0,0
PRKCZ,167,69,164,95,182
FAAP20,253,205,173,156,142
SKI,268,380,489,195,379
MORN1,72,54,66,38,50
RER1,637,574,408,390,398
PEX10,126,134,90,87,93
PLCH2,17,2,116,26,12
PANK4,266,217,228,159,153
HES5,0,0,3,2,2
TNFRSF14,1201,940,718,545,618
FAM213B,98,94,168,35,60
MMEL1,12,8,44,9,3
TTC34,3,9,15,2,2
PRDM16,4,6,41,12,73
ARHGEF16,2,0,14,0,0
MEGF6,16,24,53,7,23
TPRG1L,165,172,170,127,129
WRAP73,259,271,230,178,201
TP73,2,10,17,15,5
CCDC27,2,4,4,8,10
SMIM1,2,4,2,2,8
LRRC47,575,514,428,345,354
CEP104,1228,1115,766,613,706
DFFB,145,137,132,32,102
C1orf174,117,77,69,66,68
AJAP1,0,0,14,2,12
NPHP4,396,303,190,104,147
KCNAB2,4190,3853,1897,670,1914
CHD5,7,6,12,8,12
RPL22,32045,34054,24715,15247,18146
RNF207,405,113,395,727,175
ICMT,192,102,117,141,52
HES3,0,0,0,2,0
GPR153,125,15,216,534,123
ACOT7,315,108,248,162,126
HES2,0,2,2,2,0
