,CD141+,CD1C+,IL7R+CCR7-,IL7R+CCR7+
FO538757.1,107.007800733365,98.4195890805483,81.6867396470396,60.5877374206136
SAMD11,3.95222639040758,3.4195587607974,1.99137698074882,1.72211870730323
NOC2L,72.6789388396115,50.0816197886325,47.8346169482261,35.341608544952
KLHL17,3.09172950023688,3.50228675920608,3.09270156777323,4.07547562455043
PLEKHN1,0.508537001398984,0.554328332739695,3.2486621493766,2.47212451817555
HES4,5.0624644053784,1.80599405824994,3.82617571220073,4.12529509402168
ISG15,27.7475032257115,19.0526195529458,46.9241322835997,35.5417025777614
AGRN,1.93223936766387,2.62757194643317,11.4468196294467,22.2294928878517
C1orf159,1.48124875233496,1.5436554718069,0.90217535510712,1.62117470389688
TNFRSF18,1.27693694079127,1.06440866352817,8.70482479659628,15.2115098579124
TNFRSF4,2.989718031384,1.82499961261076,12.5784861254406,24.0196986992517
SDF4,59.0469882603358,44.6164182285951,63.6431861600149,56.0082064206404
B3GALT6,5.26203292722855,3.75658036675227,6.06820503935197,3.07558110612054
UBE2J2,14.4575200874018,13.2835615600226,16.1482548100473,15.2256929851979
ACAP3,8.01380189842238,7.55116045946818,6.94557432180406,5.15808015128013
PUSL1,2.81141600463485,3.78564604255096,2.70814068208604,1.09806524473401
CPSF3L,15.5235471233448,13.1140605852637,13.8457177018325,11.8242474168746
DVL1,11.6558555019881,9.70552129363647,8.76863093809113,8.24081555654012
MXRA8,4.03441895055596,2.41563755223675,1.39575417401549,2.16941403455577
AURKAIP1,54.6900574870524,32.5965035019261,57.2405667861209,37.254445755993
CCNL2,72.199516911092,69.006432432426,64.4157034948125,73.6885436559529
MRPL20,26.6123723944086,20.2779189381119,21.7128526628654,21.9342766567248
ATAD3B,11.1452578417961,9.71030694037345,9.24696108391811,7.76040137298142
ATAD3A,46.3060660469755,34.1378057918483,35.1836496313898,25.9927992030132
SSU72,23.9544584202256,27.4882872285476,29.2384284652774,21.830141595817
MIB2,6.59669501400859,5.47618836323604,5.89949263612488,2.90314228589669
CDK11B,335.300391509833,223.733564945013,301.470096503182,257.695851526309
SLC35E2B,9.73286946329344,8.44465659256175,7.36530019981835,8.01693903582732
CDK11A,258.720938641345,168.389683958733,209.287986095574,209.87948655299
SLC35E2,6.96760015793273,4.6051127085808,3.61396561764592,4.55304730182363
NADK,41.9383904548184,30.5503367121109,35.6995661853696,34.500897031091
GNB1,178.518099662634,166.693942665567,200.549924784426,201.137463789
PRKCZ,4.81108902390842,2.89391600716864,2.39356908630529,3.22128857350532
FAAP20,3.07323074869159,2.00381073978598,2.14935336722719,2.11253202414632
SKI,10.6121910097745,8.30222597501409,5.45794506697341,8.51279370297406
MORN1,0.844162194720126,1.0685902922061,0.914712501301004,0.542422147554173
RER1,16.129368550183,15.6304045002721,14.1903215071526,14.1372644267411
PEX10,4.3183080094478,5.00319828383126,4.68693290094081,5.13941047988086
