"","Ctr_1","Ctr_2","Ctr_3","Ctr_4","Ctr_5","PAMP_1","PAMP_2","PAMP_3","PAMP_4","PAMP_5","PAMP_6"
"SAMD11",72,26,26,20,46,48,52,59,24,63,51
"NOC2L",2167,1193,790,841,1007,1423,991,1284,933,1210,1367
"KLHL17",4,35,0,35,12,26,21,12,8,23,30
"PLEKHN1",54,51,41,24,47,396,186,234,122,270,261
"HES4",5,2,4,0,0,96,54,64,37,73,51
"ISG15",217,58,25,81,44,11962,8273,9590,10405,15258,14075
"AGRN",1515,901,582,809,961,3549,2203,3651,1831,2930,3463
"RNF223",5,36,0,12,22,14,15,29,13,44,12
"C1orf159",219,258,185,352,418,316,232,374,109,211,170
"TNFRSF18",274,131,104,136,208,54,31,24,17,45,29
"TNFRSF4",266,129,191,168,208,63,29,47,21,42,14
"SDF4",4341,2447,2492,2425,2733,3124,1996,2489,1415,2012,2395
"B3GALT6",179,56,55,128,119,123,57,76,36,84,51
"UBE2J2",426,236,142,309,274,467,270,193,259,220,248
"ACAP3",106,123,72,76,94,54,35,84,17,64,77
"PUSL1",309,291,259,233,62,69,221,152,171,129,115
"CPTP",81,7,0,35,18,56,7,39,19,85,18
"DVL1",209,70,62,89,138,221,158,215,100,221,167
"MXRA8",24,8,12,5,16,19,6,20,8,21,8
"AURKAIP1",646,368,350,483,418,560,319,398,195,360,364
"CCNL2",2107,1158,1066,1294,1606,1630,1339,1571,915,1123,1244
"MRPL20",686,484,323,446,481,595,479,671,388,529,495
"ATAD3B",438,274,263,207,327,497,376,341,209,374,371
"ATAD3A",800,461,400,595,553,1002,741,1189,553,709,830
"SSU72",1315,963,956,655,995,810,806,1007,479,854,755
"MIB2",115,98,54,63,104,39,34,98,57,61,22
"CDK11B",7457,5989,4188,3975,4722,6957,4738,6078,3747,5661,5922
"SLC35E2B",357,191,202,227,164,352,184,213,165,208,192
"CDK11A",7747,5319,4155,4308,4799,6396,4652,6060,3547,5131,5870
"NADK",1064,654,556,476,670,1217,994,1210,851,1068,983
"GNB1",4990,3166,3216,3000,3514,6846,4629,5700,3160,4879,4598
"PRKCZ",10,3,0,15,7,6,37,19,7,15,19
"FAAP20",41,23,30,14,38,50,74,45,31,62,33
"SKI",212,139,216,148,166,38,47,57,22,28,26
"MORN1",7,17,0,27,10,91,10,28,23,17,51
"RER1",669,388,435,393,487,594,371,545,288,350,419
"PEX10",140,52,99,38,65,105,34,71,40,71,48
"PANK4",234,97,104,84,150,160,82,73,105,79,67
"TNFRSF14",284,232,103,292,326,222,63,199,63,137,117
"PRDM16",23,2,7,10,0,46,20,62,26,23,68
"MEGF6",2,4,20,0,7,1,1,20,0,7,0
"TPRG1L",94,101,94,72,54,251,104,190,135,123,140
"WRAP73",211,122,61,146,144,183,99,77,67,99,113
"LRRC47",422,212,321,208,265,406,360,322,213,266,279
"CEP104",423,407,331,224,401,542,286,447,214,405,381
"DFFB",106,103,82,42,44,45,71,86,76,79,57
"C1orf174",74,24,53,15,71,20,67,63,11,59,38
"NPHP4",60,33,43,23,36,37,38,52,29,35,37
"KCNAB2",2136,1432,1117,1594,1426,81,61,44,27,48,69
"RPL22",9636,6849,5070,5000,6570,5676,4218,4702,3483,4604,4366
"RNF207",106,114,129,125,153,136,127,192,78,102,52
"ICMT",84,74,45,119,96,104,196,187,103,68,122
"GPR153",22,37,16,19,17,26,6,17,4,14,33
"ACOT7",74,48,44,19,45,36,16,25,23,24,33
"TNFRSF25",0,6,3,0,0,20,6,17,10,4,28
"NOL9",230,66,78,74,178,175,117,129,88,84,138
"ZBTB48",367,289,216,205,329,100,65,137,44,90,118
"KLHL21",353,183,199,171,189,631,361,500,281,399,499
"PHF13",146,76,80,47,89,155,57,87,55,77,128
"THAP3",133,85,130,120,113,407,234,298,155,214,192
"DNAJC11",1569,1225,983,1223,1237,1805,1284,1556,902,1183,1291
"CAMTA1",255,206,104,199,160,655,678,807,545,653,602
"VAMP3",245,198,159,105,205,308,201,187,151,211,215
"PER3",105,48,45,70,82,72,33,44,19,47,37
"UTS2",0,0,3,4,4,28,13,0,13,1,4
"TNFRSF9",122,87,121,185,160,1700,1072,1120,471,777,657
"PARK7",2001,1468,1231,1289,1606,1351,1281,1178,829,815,1228
"ERRFI1",94,28,64,24,44,355,168,234,172,161,203
"RERE",248,246,218,194,162,205,175,157,83,175,166
"ENO1",32654,22264,13517,16696,18342,24278,18061,20869,15495,22072,21983
"SLC2A5",0,0,6,0,3,13,0,59,0,11,0
