,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
OR4F5,0,0,0,0,0,0,0,0
SAMD11,90,106,91,43,46,34,29,167
NOC2L,1541,2261,1769,1390,1231,895,827,4008
KLHL17,42,87,82,81,117,66,56,137
PLEKHN1,12,9,6,18,9,12,34,53
PERM1,1,4,6,0,4,11,0,10
HES4,68,57,50,41,69,61,72,172
ISG15,225,242,138,185,181,116,184,455
AGRN,142,117,169,216,568,1045,938,1384
RNF223,2,0,0,0,0,0,0,8
C1orf159,56,72,65,27,86,80,48,198
TTLL10,25,0,0,17,27,0,0,57
TNFRSF18,35,10,22,41,115,234,194,146
TNFRSF4,23,13,17,11,159,299,138,327
SDF4,1628,2389,1808,1680,2172,1974,1481,5281
B3GALT6,53,53,47,74,36,53,28,115
UBE2J2,379,451,372,355,378,314,271,892
SCNN1D,9,15,20,21,0,2,3,10
ACAP3,437,531,529,475,269,316,222,842
PUSL1,30,45,49,35,0,19,11,49
CPTP,28,28,18,11,17,28,19,82
TAS1R3,0,2,2,0,0,6,4,9
DVL1,268,277,306,266,258,224,153,587
MXRA8,31,73,54,26,34,33,29,122
AURKAIP1,487,733,406,530,412,363,325,1143
CCNL2,2592,2922,2745,2511,2116,2519,1924,5974
MRPL20,271,357,273,188,257,218,201,712
ANKRD65,23,9,10,26,1,5,9,15
VWA1,2,0,0,0,9,2,8,25
ATAD3C,0,5,8,5,8,8,0,10
ATAD3B,461,640,563,492,335,395,293,1014
ATAD3A,816,977,778,718,519,469,412,1480
TMEM240,0,2,0,0,0,0,0,0
SSU72,1136,1511,1174,829,695,568,619,2196
FNDC10,0,14,11,21,1,0,0,0
MIB2,263,420,339,208,205,157,115,645
MMP23B,0,10,0,3,8,0,12,6
CDK11B,4525,6320,4528,4211,4409,4454,3360,14043
SLC35E2B,265,323,379,257,371,428,239,1090
CDK11A,4807,6921,5247,5050,5521,5807,4248,17348
NADK,651,1105,967,707,1372,1098,720,2570
GNB1,6792,8890,7671,6384,8645,7088,5975,22110
CALML6,3,5,0,0,2,0,5,2
TMEM52,4,0,2,0,0,0,3,0
CFAP74,0,0,0,0,0,0,0,5
GABRD,0,2,0,4,0,0,0,4
PRKCZ,66,74,93,53,131,108,61,295
FAAP20,125,170,134,125,110,127,88,344
SKI,562,697,458,374,268,349,306,1903
MORN1,46,60,70,25,32,36,20,96
RER1,407,505,451,400,292,343,265,892
PEX10,102,108,105,86,85,79,72,147
PLCH2,11,4,5,1,34,48,19,356
PANK4,159,206,186,156,170,143,103,379
HES5,2,0,0,0,0,2,1,0
TNFRSF14,1000,1042,1078,1041,890,599,551,1480
MMEL1,21,10,13,1,7,11,8,28
TTC34,0,6,8,0,0,2,0,2
PRDM16,0,3,0,0,32,7,1,55
ARHGEF16,8,0,2,8,2,0,0,4
MEGF6,25,33,25,29,12,10,6,43
TPRG1L,82,119,123,18,104,91,38,388
WRAP73,156,206,151,101,64,123,98,352
TP73,0,6,4,6,0,9,3,10
CCDC27,0,4,6,2,0,8,2,18
SMIM1,0,4,8,0,0,2,0,0
LRRC47,403,333,342,206,294,217,146,735
CEP104,607,639,646,468,353,328,227,1250
DFFB,91,68,47,30,42,14,20,119
C1orf174,46,63,96,75,84,54,26,133
AJAP1,0,0,0,0,0,2,0,0
NPHP4,198,327,313,230,180,121,95,470
KCNAB2,1818,2783,3238,1360,781,481,279,3211
CHD5,9,8,11,15,9,10,4,13
RPL22,21282,29662,20810,19607,16783,13160,14731,43134
RNF207,109,97,184,96,733,596,339,1209
ICMT,69,48,75,91,59,61,49,125
HES3,0,0,0,0,0,2,0,0
GPR153,13,14,21,0,393,406,209,1337
ACOT7,76,79,95,67,124,98,46,310
HES2,0,2,0,0,0,0,0,16
ESPN,0,4,4,6,37,19,7,29
TNFRSF25,38,36,30,20,188,99,33,432
PLEKHG5,13,8,19,19,208,169,21,238
NOL9,176,160,155,117,103,116,70,427
TAS1R1,27,8,27,15,7,8,18,47
ZBTB48,570,413,542,369,289,202,132,846
KLHL21,443,281,360,448,412,583,228,1014
PHF13,84,65,66,34,90,113,97,298
THAP3,237,261,194,182,306,126,170,590
DNAJC11,1139,1237,1352,959,1000,805,521,2614
CAMTA1,293,279,235,177,292,313,221,1013
VAMP3,273,319,368,258,198,185,107,452
PER3,74,42,44,23,16,49,20,127
UTS2,54,73,26,23,6,10,23,74
TNFRSF9,48,1,40,37,252,363,191,608
PARK7,1577,2343,1602,1687,1865,1726,1565,4638
ERRFI1,72,42,70,4,87,83,59,766
SLC45A1,17,7,6,12,0,7,7,4
RERE,1398,1741,1779,1280,926,577,564,2942
ENO1,12364,13069,13012,10690,14104,10515,11118,31669
CA6,0,0,0,0,2,0,0,0
SLC2A5,17,15,14,17,80,78,47,185
GPR157,477,304,515,172,1911,3112,1870,8736
H6PD,315,302,371,161,2315,1837,1198,5086
SPSB1,14,0,0,13,32,70,23,86
SLC25A33,472,348,368,363,236,255,281,579
TMEM201,40,21,43,61,37,19,15,63
PIK3CD,528,711,782,405,336,221,166,1187
CLSTN1,801,854,990,692,1475,1252,790,3275
CTNNBIP1,457,533,311,371,165,119,207,380
LZIC,314,374,356,252,282,232,177,758
NMNAT1,53,71,79,46,51,49,24,140
RBP7,2,0,0,0,9,6,10,16
UBE4B,327,288,435,334,303,417,198,953
KIF1B,555,545,502,351,505,601,451,2492
PGD,1933,2179,2279,1746,2790,3658,1919,5558
CORT,0,0,8,5,8,4,2,6
DFFA,175,329,255,232,192,218,126,647
PEX14,154,248,181,168,268,215,158,577
CASZ1,308,429,254,308,1204,1255,1255,4023
C1orf127,11,19,12,17,11,0,3,5
TARDBP,2005,2710,2191,1863,1897,2155,1757,6368
MASP2,18,24,14,23,20,22,20,39
SRM,64,182,170,76,83,62,24,273
EXOSC10,904,1336,1282,980,932,1021,625,2725
MTOR,994,1141,1426,1038,844,935,535,2645
ANGPTL7,0,0,0,0,0,0,2,0
UBIAD1,35,33,54,14,14,31,8,96
DISP3,0,0,0,2,0,6,0,10
FBXO2,0,12,7,16,139,60,70,194
FBXO44,65,102,111,78,142,119,94,379
FBXO6,50,128,85,89,91,70,83,169
MAD2L2,451,726,483,454,413,462,429,1321
DRAXIN,2,0,0,0,2,6,0,8
AGTRAP,17,24,50,9,0,4,0,22
C1orf167,226,197,244,231,446,283,293,790
MTHFR,911,784,1066,804,1602,1222,976,3295
CLCN6,295,338,410,247,498,396,310,1331
NPPA,5,16,10,9,27,41,13,72
KIAA2013,226,236,200,153,125,91,96,421
PLOD1,461,418,459,311,91,137,93,505
MFN2,542,793,753,507,606,562,362,1818
MIIP,86,155,147,127,147,107,67,237
TNFRSF8,51,40,51,55,45,127,44,128
TNFRSF1B,2661,4330,2892,2320,2124,2083,2417,5518
VPS13D,856,1015,1299,958,846,1030,451,2558
DHRS3,164,71,122,95,295,163,176,915
HNRNPCL1,2,1,0,0,1,1,0,3
PRAMEF25,0,0,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,0,0,0,0
HNRNPCL2,0,3,2,0,1,0,2,2
HNRNPCL4,0,1,0,0,0,0,2,0
PRAMEF15,0,0,0,0,0,0,0,0
PRAMEF17,0,0,1,0,0,0,0,0
LRRC38,0,0,0,0,0,0,0,0
PDPN,0,4,0,0,0,2,0,16
PRDM2,1376,1377,1853,1431,2898,3365,1698,7688
KAZN,21,25,39,42,249,188,28,201
TMEM51,105,61,103,95,118,179,100,280
FHAD1,39,39,32,18,14,7,13,58
EFHD2,12194,17190,11275,11356,9722,7501,10054,25407
CTRC,38,18,33,22,16,1,19,64
CELA2A,4,0,0,0,0,0,0,0
CELA2B,8,17,30,19,13,6,0,23
CASP9,196,272,218,206,218,131,153,437
DNAJC16,106,72,94,75,103,55,27,190
AGMAT,0,0,0,2,1,0,0,2
DDI2,493,550,888,439,363,350,124,1159
RSC1A1,126,100,123,96,56,59,40,234
PLEKHM2,2063,2118,2418,2264,2556,2755,1859,5613
SLC25A34,33,7,28,39,16,41,26,67
TMEM82,0,0,0,0,0,0,0,0
FBLIM1,6,3,4,0,0,4,0,11
UQCRHL,110,120,83,42,39,33,42,148
SPEN,4989,5746,7833,5910,6721,6658,3603,19795
ZBTB17,1242,1350,970,1213,1584,1556,1228,3759
HSPB7,0,4,0,2,0,2,0,2
CLCNKA,0,0,0,1,0,0,0,0
CLCNKB,0,0,0,0,0,0,0,0
FAM131C,0,0,0,0,4,4,0,0
EPHA2,58,136,30,78,72,39,40,245
ARHGEF19,43,50,51,16,17,12,10,87
FBXO42,314,415,429,311,339,256,194,770
SZRD1,1012,1278,1086,1066,1376,1104,1010,2729
SPATA21,300,427,426,398,482,370,279,790
NECAP2,649,680,608,606,1254,1227,907,2365
NBPF1,254,205,326,170,157,166,70,499
CROCC,1209,1601,1287,1224,591,568,436,1995
MFAP2,0,2,0,8,2,6,0,4
ATP13A2,72,119,48,40,32,37,23,159
SDHB,385,450,331,292,245,143,185,519
PADI2,635,592,452,273,367,180,489,1778
PADI1,8,0,2,0,0,0,2,2
PADI3,0,0,0,0,0,0,0,0
PADI4,7,15,7,3,10,4,10,11
RCC2,1193,1638,1724,1180,947,851,702,2534
ARHGEF10L,107,28,62,80,41,87,24,99
IGSF21,2,2,0,21,0,28,0,20
KLHDC7A,0,0,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0,0,0
ALDH4A1,110,96,70,95,118,130,91,329
IFFO2,2644,1639,2319,2296,2501,2898,2814,6231
UBR4,3109,3812,4473,3410,4893,5265,3471,16055
EMC1,475,420,568,356,176,308,124,900
MRTO4,170,216,138,145,92,105,95,247
AKR7L,4,8,5,0,4,0,0,14
AKR7A3,3,2,0,0,0,1,0,0
AKR7A2,94,170,135,183,79,60,65,119
CAPZB,1964,2280,1902,1563,2005,1391,1340,4562
NBL1,9,10,2,0,90,46,28,256
HTR6,0,1,0,0,0,0,1,6
TMCO4,289,188,269,185,95,90,68,330
RNF186,0,0,2,0,0,0,0,0
OTUD3,343,316,462,237,291,317,128,958
PLA2G2A,2,0,0,2,0,0,0,0
PLA2G5,0,0,2,0,0,0,0,0
PLA2G2D,0,0,6,0,0,10,0,16
PLA2G2F,0,0,0,0,0,0,0,2
UBXN10,5,2,0,0,0,5,0,20
VWA5B1,0,0,0,0,0,0,0,0
CAMK2N1,6,0,0,3,13,6,0,40
MUL1,84,170,104,87,131,94,69,260
CDA,0,0,4,0,0,0,12,0
PINK1,133,159,181,151,130,105,24,233
DDOST,655,871,760,632,594,491,332,1263
KIF17,53,50,25,18,41,23,17,68
SH2D5,3,0,0,0,0,0,2,0
HP1BP3,2117,3043,2994,2031,2766,2357,1542,7121
EIF4G3,2810,4635,4402,2287,1432,830,750,5679
ECE1,371,588,302,248,1509,942,1260,6312
NBPF3,23,21,18,22,0,7,7,51
ALPL,0,0,1,0,1,13,4,31
RAP1GAP,7,3,3,7,5,19,10,9
USP48,1336,2197,2400,1635,1869,1784,978,4639
LDLRAD2,40,37,28,20,33,24,12,91
HSPG2,121,99,96,98,117,106,39,350
CELA3B,0,0,0,0,0,0,0,0
CDC42,2482,3023,3049,2513,2889,2470,1893,6375
WNT4,0,0,0,0,8,4,0,7
ZBTB40,1073,1369,1570,1073,1222,1129,739,3644
C1QA,210,138,226,148,120,174,54,173
C1QC,118,84,95,94,115,166,77,114
C1QB,221,246,290,196,172,144,59,166
EPHB2,8,3,4,2,0,5,0,11
LACTBL1,0,0,0,0,0,0,0,0
KDM1A,938,1070,1146,835,969,802,570,2247
LUZP1,947,811,878,1016,2018,1929,1085,4518
HNRNPR,5027,6519,6240,4198,4549,3848,2908,13110
ZNF436,57,43,65,51,61,89,40,160
TCEA3,110,131,32,76,34,18,21,87
ASAP3,7,5,4,6,26,19,3,52
E2F2,10,9,2,6,0,12,0,36
ID3,25,21,27,33,24,20,0,48
MDS2,0,0,0,0,0,0,1,3
RPL11,9299,12439,7913,8381,7372,5603,7039,17106
PITHD1,613,826,637,592,540,524,442,1744
LYPLA2,96,183,151,75,117,101,85,276
GALE,79,105,70,88,100,60,68,260
HMGCL,46,94,102,103,136,83,52,161
FUCA1,60,54,68,58,84,114,53,217
CNR2,11,19,16,9,43,28,11,194
PNRC2,1667,2464,2243,1619,2163,1586,1115,5054
SRSF10,2746,3844,4037,2948,2881,2855,1885,8738
MYOM3,0,0,0,0,0,0,0,0
IFNLR1,38,82,39,41,122,86,50,364
GRHL3,5,1,0,0,0,4,3,17
STPG1,52,30,22,12,10,35,19,85
NIPAL3,220,151,183,118,227,209,94,706
RCAN3,218,392,379,259,393,475,326,1151
NCMAP,0,12,4,0,8,6,0,35
SRRM1,4743,5500,6219,3513,3487,3482,2285,11724
CLIC4,263,289,392,288,403,524,287,762
RUNX3,2152,2321,1988,1841,2064,1138,1324,4718
SYF2,5478,6734,5527,4879,4424,3875,3144,11636
RSRP1,4593,6424,5926,3508,4652,4885,3559,14494
RHD,21,11,12,6,5,11,0,58
TMEM50A,226,330,256,211,349,329,194,897
RHCE,0,1,1,0,0,0,0,6
LDLRAP1,147,101,135,78,65,68,26,333
MAN1C1,80,59,65,58,57,34,23,88
MTFR1L,246,283,261,130,142,134,96,427
AUNIP,55,54,80,23,39,29,10,85
PAQR7,145,125,170,136,200,119,110,157
STMN1,741,781,616,900,914,1275,790,2491
PAFAH2,35,41,67,26,45,54,20,159
EXTL1,6,0,0,3,0,0,0,0
SLC30A2,2,0,0,0,0,0,0,0
TRIM63,0,0,0,0,0,2,0,0
PDIK1L,15,17,38,9,9,13,7,67
FAM110D,0,0,0,0,2,0,0,0
ZNF593,79,62,54,67,61,48,48,48
CNKSR1,17,0,17,12,0,7,3,17
CATSPER4,0,0,0,0,0,0,1,0
CEP85,443,506,522,399,374,322,240,1262
SH3BGRL3,713,802,718,486,386,275,308,927
UBXN11,1778,1847,1651,1044,448,432,523,1424
CD52,703,607,663,354,212,183,200,625
ZNF683,0,0,0,5,0,0,0,8
DHDDS,240,324,255,198,197,300,200,703
HMGN2,3661,5241,4079,3767,3491,3198,2686,8218
RPS6KA1,753,1357,1310,799,747,288,281,1504
ARID1A,2903,3394,4043,2679,3192,3486,2107,10261
PIGV,23,25,39,34,31,37,10,65
ZDHHC18,316,371,462,275,903,791,499,2213
SFN,19,6,0,12,22,18,29,51
GPN2,165,152,172,74,133,79,47,408
GPATCH3,407,570,403,329,349,323,242,1243
NUDC,5839,6457,4253,4352,3379,3137,3169,10085
NR0B2,0,0,4,0,0,0,2,0
KDF1,0,0,0,0,0,0,0,0
TRNP1,2,0,0,5,6,0,4,5
SLC9A1,255,188,230,156,151,168,90,596
WDTC1,410,473,463,351,474,299,236,978
TMEM222,45,50,31,31,19,46,35,133
SYTL1,497,501,580,240,169,87,82,723
MAP3K6,318,627,573,639,1375,631,685,1246
FCN3,0,1,0,4,0,0,0,2
CD164L2,0,0,2,0,0,0,8,1
GPR3,30,23,29,12,0,5,10,52
WASF2,1471,1931,2151,1388,1798,1295,780,4419
AHDC1,107,187,162,29,112,90,11,666
FGR,5239,6196,5942,3670,3101,1701,1408,9095
IFI6,91,87,147,83,69,38,13,98
FAM76A,172,222,195,125,131,178,117,376
STX12,341,441,566,382,363,220,115,729
PPP1R8,269,388,327,244,289,211,156,629
THEMIS2,4733,9362,6532,5973,5386,5117,3407,12862
RPA2,520,598,569,301,478,531,357,1679
SMPDL3B,15,3,7,10,0,0,0,1
XKR8,36,48,25,15,33,10,29,114
EYA3,462,490,555,282,302,314,200,951
PTAFR,580,584,693,251,135,96,143,552
DNAJC8,3448,4642,3529,2884,2699,2203,2023,8056
SESN2,901,951,1049,600,423,250,264,1401
MED18,50,45,30,43,13,9,10,23
PHACTR4,726,839,994,607,539,545,274,1906
RCC1,511,681,620,366,445,384,317,1112
TRNAU1AP,156,192,187,147,151,189,124,458
TAF12,269,339,370,210,233,185,91,550
