"","CT_1","CT_2","CT_3","LPS_IFNg_1","LPS_IFNg_2","LPS_IFNg_3","PAMP_1","PAMP_2","PAMP_3"
"SAMD11",21,17,34,35,26,14,20,46,39
"NOC2L",688,733,878,1162,1004,1021,812,1053,1188
"KLHL17",0,28,6,46,12,14,4,16,22
"PLEKHN1",40,26,46,120,104,141,132,258,252
"HES4",2,0,0,28,24,12,18,40,24
"ISG15",18,48,30,2098,2292,1700,6154,8950,8431
"AGRN",358,564,675,2531,2465,1978,1315,2203,2758
"RNF223",0,6,12,14,3,0,7,26,6
"C1orf159",99,179,212,251,168,91,58,110,90
"TNFRSF18",60,86,145,67,70,45,10,33,18
"TNFRSF4",155,148,177,179,113,48,18,34,14
"SDF4",2610,2511,2812,3268,3036,2866,1464,2083,2561
"B3GALT6",44,118,106,70,50,36,30,76,42
"UBE2J2",58,176,140,187,212,166,157,109,129
"ACAP3",50,53,67,91,117,69,10,48,60
"PUSL1",30,26,4,6,18,18,22,14,12
"INTS11",277,258,290,527,476,317,260,366,352
"CPTP",0,18,6,50,34,18,8,56,6
"DVL1",36,58,98,137,117,54,64,160,112
"MXRA8",12,5,16,38,18,7,8,22,8
"AURKAIP1",272,416,324,424,338,222,144,294,298
"CCNL2",994,1256,1583,1826,1736,1186,890,1055,1198
"MRPL20",333,419,463,730,492,368,364,502,481
"ATAD3B",222,182,274,405,260,209,181,313,311
"ATAD3A",398,554,536,706,683,447,533,697,792
"SSU72",878,548,887,1082,903,713,420,786,677
"MIB2",36,43,72,42,66,48,40,42,14
"CDK11B",3936,3770,4469,6756,6763,7232,3508,5264,5483
"SLC35E2B",165,183,142,300,254,326,134,171,160
"CDK11A",3795,3938,4350,7371,7147,6511,3305,4799,5622
"NADK",477,384,575,1601,1502,1457,794,963,863
"GNB1",2062,1906,2234,4290,4174,4324,2008,3124,2928
"PRKCZ",0,16,6,12,19,8,6,14,18
"FAAP20",26,10,34,44,57,29,26,55,26
"SKI",227,142,158,86,62,26,20,26,24
"MORN1",0,18,4,46,10,24,11,6,30
"RER1",339,312,383,476,428,348,226,280,328
"PEX10",83,29,52,119,48,32,32,59,38
"PANK4",106,78,162,250,126,132,126,79,64
"TNFRSF14",80,236,264,420,240,142,50,110,94
"PRXL2B",28,0,6,2,12,2,0,0,4
"PRDM16",4,6,0,8,30,28,16,14,42
"MEGF6",20,0,4,22,18,14,0,4,0
"TPRG1L",75,64,58,150,110,84,108,119,128
"WRAP73",60,94,100,74,112,54,50,73,78
"LRRC47",242,199,242,352,236,178,180,240,246
"CEP104",278,192,336,495,391,298,181,339,320
"DFFB",80,39,40,94,86,48,76,77,54
"C1orf174",58,14,80,50,42,54,10,66,40
"NPHP4",44,24,37,58,70,43,30,36,38
"KCNAB2",1100,1360,1366,368,306,178,26,45,59
"ENSG00000285629",6045,5960,7920,8287,6833,5914,4274,5646,5289
"RPL22",6379,6262,8326,8653,7146,6210,4479,5888,5555
"RNF207",162,154,192,299,186,150,92,118,50
"ICMT",38,112,88,110,136,62,94,57,110
"GPR153",20,23,22,42,1,6,6,18,34
"ACOT7",74,24,72,96,80,42,40,39,58
"TNFRSF25",2,0,0,16,18,12,8,6,16
"NOL9",75,72,155,139,162,140,80,82,124
"ZBTB48",177,163,297,139,118,126,34,79,114
"KLHL21",180,160,179,566,518,318,262,372,442
"PHF13",70,34,76,166,134,83,46,64,124
"THAP3",129,119,112,141,114,89,153,212,190
"DNAJC11",1054,1264,1314,1391,1429,1311,949,1264,1356
"CAMTA1",125,171,168,732,713,521,485,650,636
"VAMP3",162,101,211,238,242,199,155,216,220
"PER3",42,71,84,82,62,76,17,48,36
"UTS2",8,9,10,14,20,3,16,5,12
"TNFRSF9",175,286,237,1121,1038,774,612,1055,846
"PARK7",1356,1416,1744,1856,1475,1290,892,933,1312
"ERRFI1",46,22,36,174,170,164,130,138,162
"RERE",196,179,158,560,500,549,80,158,151
"ENO1",14364,18565,20111,40993,37580,30864,18285,26075,25927
