"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"WP3929","WP3929","Chemokine signaling","31/604","166/9131",1.07196842053488e-07,4.26840028179236e-05,3.35416470528872e-05,"7410/7852/643/7074/1236/6351/4790/115/4792/409/2185/6361/55970/23533/26230/3055/2833/2309/408/6367/5293/5604/57580/5829/4067/2786/5879/9844/2788/10000/5290",31
"WP5491","WP5491","Transcriptional regulation of memory B cell differentiation","15/604","47/9131",1.7645192713371e-07,4.26840028179236e-05,3.35416470528872e-05,"3662/6925/598/4790/6929/50615/6850/5450/6504/1026/6689/7098/958/4067/3566",15
"WP4658","WP4658","Small cell lung cancer","22/604","96/9131",1.97916550933185e-07,4.26840028179236e-05,3.35416470528872e-05,"3918/596/598/330/4790/4792/7185/6256/7187/5728/51426/1026/7186/5293/1871/7188/7189/1021/10000/4616/5290/329",22
"WP2018","WP2018","RANKL/RANK signaling","15/604","55/9131",1.70035640917273e-06,0.000275032649183688,0.000216124248850112,"3383/4790/4792/7185/6850/7412/5971/7187/7186/5604/7188/4067/8792/5879/7189",15
"WP286","WP286","IL3 signaling","14/604","50/9131",2.67582549353741e-06,0.00034625181886374,0.00027208920281654,"596/598/6850/942/3563/1439/3716/3055/3635/5293/5604/4067/6776/10971",14
"WP4659","WP4659","Gastrin signaling","22/604","115/9131",5.0644012410018e-06,0.000502926204075796,0.000395205981564483,"6925/5578/598/330/4790/4792/409/5581/2308/960/1026/182/2776/2309/408/5604/5829/5879/6550/5290/4209/329",22
"WP5078","WP5078","T cell modulation in pancreatic cancer","13/604","46/9131",5.44124177516317e-06,0.000502926204075796,0.000395205981564483,"5817/6361/201633/942/3604/29126/567/6367/29851/958/8744/80380/941",13
"WP4263","WP4263","Pancreatic adenocarcinoma pathway","18/604","89/9131",1.64660042341885e-05,0.00133168809243999,0.00104645790067277,"7074/598/5062/4790/51426/1026/5899/3716/5293/5604/1871/4088/5879/1021/10000/4616/5898/5290",18
"WP289","WP289","Myometrial relaxation and contraction pathways","25/604","156/9131",3.00686939933686e-05,0.00213018421781211,0.00167392658781949,"60/10267/5578/4790/115/409/57007/5996/5021/5581/7531/55970/3708/5576/11142/2776/5998/23764/408/10636/2786/1902/2788/10971/467",25
"WP3657","WP3657","Hematopoietic stem cell gene regulation by GABP alpha/beta complex","8/604","21/9131",3.29240219136338e-05,0.00213018421781211,0.00167392658781949,"596/598/2322/5728/2120/574406/2309/1788",8
"WP2036","WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling","11/604","42/9131",6.27458345993147e-05,0.00326009430782629,0.0025618246980885,"330/4790/4792/7185/5971/7187/7186/7188/840/5879/329",11
"WP3888","WP3888","VEGFA-VEGFR2 signaling","50/604","432/9131",6.48369606271174e-05,0.00326009430782629,0.0025618246980885,"2926/7410/5795/596/10397/5578/3383/2060/598/7295/5062/4790/1901/4792/409/57007/274/5581/2185/6478/7531/2308/2549/5770/9898/6624/182/2309/10231/9645/4641/1466/10645/832/91010/9588/5604/5829/8821/8828/301/1977/8766/4301/5216/5879/3315/22926/3303/5290",50
"WP2380","WP2380","Brain-derived neurotrophic factor (BDNF) signaling","23/604","144/9131",6.55042132948096e-05,0.00326009430782629,0.0025618246980885,"6195/7410/7074/4790/4792/2185/391/8440/1808/5792/4803/2309/4082/55816/5604/2902/140885/1977/6776/5879/4214/7189/5864",23
"WP3892","WP3892","Development of pulmonary dendritic cells and macrophage subsets","6/604","13/9131",9.38442570017679e-05,0.00407956846087509,0.00320577819344776,"3662/6925/860/10320/55509/3398",6
"WP5218","WP5218","Extrafollicular and follicular B cell activation by SARS-CoV-2","15/604","75/9131",9.45804125396079e-05,0.00407956846087509,0.00320577819344776,"3662/7852/643/9839/1236/83416/6850/2308/29851/5788/958/10148/3732/6776/941",15
"WP710","WP710","DNA damage response (only ATM dependent)","19/604","111/9131",0.000108872224894229,0.00431920224679901,0.00339408555308537,"596/7474/5287/5527/4790/901/5286/5728/23533/1026/2309/5293/5366/4088/80326/5879/4214/10000/5290",19
"WP4172","WP4172","PI3K-Akt signaling","41/604","339/9131",0.000114062915662549,0.00431920224679901,0.00339408555308537,"3918/3570/596/5578/3575/598/2322/5527/4790/5156/54541/6850/55970/3563/6794/3694/55844/5728/23239/23533/1946/1026/574406/3716/11140/4803/2309/5293/5604/1977/2786/1902/5879/3574/4602/2788/3566/1021/10000/5290/7184",41
"WP5083","WP5083","Neuroinflammation and glutamatergic signaling","22/604","140/9131",0.000120275456315744,0.00431920224679901,0.00339408555308537,"3570/596/2744/5578/2900/4790/6507/4092/6513/2915/3716/4803/3554/10645/7188/2902/81539/7049/4088/6506/55144/3566",22
"WP481","WP481","Insulin signaling","24/604","160/9131",0.00012683901497555,0.00431920224679901,0.00339408555308537,"6195/3631/9882/5578/9448/2308/2549/5286/5770/5728/6513/10938/868/5792/2309/4641/5293/5604/1977/5600/5879/4214/8651/5290",24
"WP5072","WP5072","Modulators of TCR signaling and T cell activation","13/604","61/9131",0.000139888439433802,0.00452539101568351,0.00355611138139614,"7128/4790/4792/10672/919/868/3937/53347/677/921/7189/8651/4209",13
"WP254","WP254","Apoptosis","16/604","88/9131",0.000182315695735676,0.00518763080114783,0.0040765080565434,"3662/596/598/330/4790/4792/7185/7187/574406/7186/8739/8837/5366/840/4214/329",16
"WP5098","WP5098","T-cell activation SARS-CoV-2","16/604","88/9131",0.000182315695735676,0.00518763080114783,0.0040765080565434,"598/4790/4792/942/3708/919/5728/1026/2309/3937/3123/5293/5604/29851/5788/941",16
"WP23","WP23","B cell receptor signaling","17/604","97/9131",0.000184413459700773,0.00518763080114783,0.0040765080565434,"6195/3662/7410/27071/4790/4792/6850/2308/2549/25780/3635/5604/1871/5788/4067/5879/4209",17
"WP3932","WP3932","Focal adhesion: PI3K-Akt-mTOR-signaling","37/604","303/9131",0.000201545628800349,0.00532684500535694,0.0041859043969534,"5209/3918/3570/1302/5287/3575/5527/5156/54541/2308/55970/3563/6794/5286/3694/55844/5728/23239/6513/23533/1946/1026/3716/11140/4803/2309/5293/5604/1977/2786/1902/23216/2788/3566/10000/5290/7184",37
"WP3937","WP3937","Microglia pathogen phagocytosis pathway","10/604","40/9131",0.000205828632355369,0.00532684500535694,0.0041859043969534,"7410/54209/6850/5286/3055/7305/5293/4067/5879/5290",10
"WP4255","WP4255","Non-small cell lung cancer","14/604","72/9131",0.000219998910667625,0.0054745882769982,0.00430200298997825,"5578/6256/51426/1026/6789/2309/5293/5604/1871/6776/1021/10000/4616/5290",14
"WP3646","WP3646","Hepatitis C and hepatocellular carcinoma","12/604","56/9131",0.000237813829845448,0.00552098531817017,0.00433846239107816,"7410/3570/598/330/4790/960/1026/3716/407040/4088/840/5879",12
"WP69","WP69","T-cell receptor signaling","16/604","90/9131",0.000238929812841986,0.00552098531817017,0.00433846239107816,"3662/4988/4790/4792/9308/2185/3604/3708/919/868/9051/8767/3937/5604/29851/7189",16
"WP1772","WP1772","Apoptosis modulation and signaling","16/604","92/9131",0.000310187569669276,0.00687048350668421,0.00539891569792317,"596/598/330/4790/4792/597/7187/574406/3554/8739/8837/5366/840/7189/3303/329",16
"WP5094","WP5094","Orexin receptor pathway","27/604","201/9131",0.000321578133501964,0.00687048350668421,0.00539891569792317,"6195/5578/3383/860/409/5581/3720/2308/29896/7412/170482/23596/51523/6513/1026/64106/2776/23764/10645/747/408/5604/27230/861/2902/6506/4616",27
"WP3617","WP3617","Photodynamic therapy-induced NF-kB survival signaling","9/604","35/9131",0.000339807530469698,0.00687048350668421,0.00539891569792317,"3383/330/4790/7412/5971/597/8837/7189/329",9
"WP4542","WP4542","Leukocyte-intrinsic Hippo pathway functions","9/604","35/9131",0.000339807530469698,0.00687048350668421,0.00539891569792317,"55233/10397/1236/2308/23012/2309/6788/5879/10971",9
"WP4482","WP4482","Vitamin D in inflammatory diseases","7/604","22/9131",0.000379988763825119,0.00745008273317733,0.00585437234218604,"9282/4790/4792/1843/6256/4088/4214",7
"WP2203","WP2203","Thymic stromal lymphopoietin (TSLP) signaling","10/604","45/9131",0.000573848954073338,0.0104903596424145,0.00824346165669276,"3575/4790/4792/64109/5971/3716/3055/5604/4067/6776",10
"WP2880","WP2880","Glucocorticoid receptor pathway","13/604","70/9131",0.000583698527244083,0.0104903596424145,0.00824346165669276,"7128/6397/330/11214/57007/9792/6256/10728/6337/79056/7049/4616/329",13
"WP5130","WP5130","Th17 cell differentiation pathway","13/604","70/9131",0.000583698527244083,0.0104903596424145,0.00824346165669276,"3662/6095/3570/4790/4792/50615/6256/919/3716/861/6776/3566/246778",13
"WP3995","WP3995","Prion disease pathway","8/604","32/9131",0.000889352034985122,0.0147510832300812,0.0115915939154465,"3662/596/4790/9126/6256/10538/53335/7184",8
"WP205","WP205","IL7 signaling","7/604","25/9131",0.000899904113950498,0.0147510832300812,0.0115915939154465,"3575/598/2185/3716/5604/6776/3574",7
"WP231","WP231","TNF-alpha signaling","15/604","92/9131",0.000955411194380227,0.0147510832300812,0.0115915939154465,"7128/598/7295/330/4790/10010/4792/7185/7186/11140/8837/840/5879/4214/329",15
"WP127","WP127","IL5 signaling","9/604","40/9131",0.000977756500200314,0.0147510832300812,0.0115915939154465,"6195/596/6850/1439/3716/2309/5604/4067/6776",9
"WP3941","WP3941","Oxidative damage response","9/604","40/9131",0.000977756500200314,0.0147510832300812,0.0115915939154465,"596/4790/7185/7187/1026/7186/728/4214/7189",9
"WP5474","WP5474","Catabolism of skeletal muscle in cachexia","9/604","40/9131",0.000977756500200314,0.0147510832300812,0.0115915939154465,"3570/4790/4792/5971/3716/3554/2309/4088/5600",9
"WP2261","WP2261","Glioblastoma signaling","14/604","83/9131",0.000992946156018585,0.0147510832300812,0.0115915939154465,"5287/5578/5156/2308/2549/5286/5728/1026/2309/5293/5604/1021/10000/5290",14
"WP4674","WP4674","Head and neck squamous cell carcinoma","13/604","74/9131",0.00100878687155364,0.0147510832300812,0.0115915939154465,"4790/54541/2549/6794/7187/5728/23533/1026/1977/1021/10000/5290/329",13
"WP5472","WP5472","Phosphoinositide 3-kinase (PI3K) family","5/604","13/9131",0.00102596405773362,0.0147510832300812,0.0115915939154465,"5287/5286/23533/5293/5290",5
"WP437","WP437","EGF/EGFR signaling","22/604","163/9131",0.00105224692742353,0.0148000817835441,0.0116300976188917,"6195/7410/5287/5578/2060/2185/50807/2308/2549/8440/5728/8202/5899/868/3716/3635/5604/6776/5879/4214/5898/4209",22
"WP4806","WP4806","EGFR tyrosine kinase inhibitor resistance","14/604","84/9131",0.00112093874929915,0.0154307951233309,0.0121257204011532,"3570/596/5578/598/5156/2549/5728/3716/2309/5293/5604/1977/10000/5290",14
"WP2637","WP2637","Interleukin-1 (IL-1) structural pathway","10/604","49/9131",0.00116359028916419,0.0156842274393589,0.0123248708260154,"4790/10010/4792/3554/3556/5604/1977/5600/4214/7189",10
"WP2037","WP2037","Prolactin signaling","13/604","76/9131",0.0013035495244716,0.0172121743333291,0.0135255514569234,"7410/4790/4792/8835/5770/3716/5604/5829/140885/6776/5879/8651/5290",13
"WP5406","WP5406","13q12.12 copy number variation","8/604","34/9131",0.00136522537433925,0.0176660163439498,0.013882186438018,"6442/8082/7185/7187/7186/6310/7188/5879",8
"WP4685","WP4685","Melanoma","12/604","68/9131",0.00149817617512353,0.0187852593642582,0.0147617022255539,"51806/5728/51426/1026/5293/5604/1871/5879/1021/10000/4616/5290",12
"WP4582","WP4582","Cancer immunotherapy by CTLA4 blockade","5/604","14/9131",0.00150978900609185,0.0187852593642582,0.0147617022255539,"942/3123/5293/941/5290",5
