"","cDC1","cDC2","DC2pre-hm","DC2hm"
"chr3-111238869-111239269",0.919281063494931,0.010869613067378,0.0670401383517418,0.00280918508594945
"chr2-230267446-230267875",0.918446775341199,0.0166772914732795,0.0105762759115679,0.0542996572739534
"chr6-33929480-33930146",0.910634987301397,0.0185716158946388,0.0230069628390642,0.0477864339649
"chr16-70793803-70794316",0.88383358193456,0.0186068380723331,0.0439262336867969,0.0536333463063096
"chr12-1226400-1227315",0.924102047620935,0.0350456706888641,0.0069216889301563,0.0339305927600443
"chr9-106981401-106982088",0.856144349579533,0.0168437824288781,0.0492304819488253,0.0777813860427637
"chr5-55364332-55365104",0.834517819722074,0.0283151686586651,0.0456132990103688,0.0915537126088923
"chr6-63519042-63519730",0.875871419162203,0.026502686275043,0.0369421604485901,0.0606837341141636
"chr21-29320026-29320336",0.825059054345501,0.0291558766797752,0.0764306525204659,0.0693544164542576
"chr7-3103631-3104409",0.867636764992978,0.0413248864099134,0.0504275203807312,0.0406108282163774
"chr3-53554674-53555549",0.796095961720688,0.0465587137723329,0.0809617929361246,0.0763835315708542
"chr2-24313697-24314350",0.857113357976981,0.0345609673858245,0.0662529188231879,0.0420727558140063
"chr15-64144395-64145275",0.880120728894499,0.032058273854274,0.0487605693618466,0.0390604278893807
"chr15-56371615-56372137",0.819256378772739,0.0600617595499334,0.0631153303492371,0.0575665313280899
"chr19-34468261-34468803",0.868791167688688,0.0490404840297164,0.0193001301853743,0.062868218096221
"chr17-62794179-62794891",0.853265093474952,0.0626215402389209,0.050811865511718,0.0333015007744092
"chr4-26193004-26193567",0.829254883384081,0.0355347839209998,0.0263645778065343,0.108845754888385
"chr22-40803187-40804147",0.780467722259419,0.0468631247820272,0.110749015285088,0.0619201376734662
"chr2-190678432-190679214",0.844527414586573,0.065101763953355,0.0709537345770143,0.0194170868830579
"chr3-144433653-144434068",0.76731775820348,0.0264592457555299,0.0842188840522147,0.122004111988776
"chr16-89981182-89982021",0.819379811855265,0.0616544803017661,0.0620865231085624,0.0568791847344065
"chr19-39020907-39021496",0.767216510601381,0.0399084736562967,0.0177215264988321,0.17515348924349
"chr7-28790525-28791293",0.772690037630275,0.114220333957131,0.0519398982147196,0.0611497301978743
"chr3-144429603-144430131",0.836269619229051,0.0606891205020016,0.048983076057914,0.0540581842110334
"chr16-70804372-70804790",0.817048250429281,0.0750074967084837,0.0567414393010387,0.0512028135611962
"chr18-58814285-58814761",0.778853252479729,0.0292283376337227,0.0481612092409498,0.143757200645598
"chr3-134103996-134104623",0.7553838534301,0.0548158393013624,0.0749508188706533,0.114849488397884
"chr19-49844194-49844570",0.754320742094695,0.072702390762167,0.0778404998462707,0.0951363672968673
"chr8-130808337-130809320",0.812465065788168,0.0599087076713685,0.0497965181281829,0.0778297084122803
"chr16-30439003-30440360",0.775446159386544,0.0573924617695507,0.104478737641148,0.0626826412027573
"chr10-48743345-48743897",0.791710255858256,0.051778316893723,0.0834686875208041,0.0730427397272169
"chr14-73700187-73700670",0.732475799980745,0.0561162013573247,0.0856261726677384,0.125781825994191
"chr13-22073490-22074267",0.730699827403334,0.0294545234996633,0.132328968932978,0.107516680164025
"chr7-101250359-101250631",0.759841676474804,0.0395761985998484,0.0880387780333009,0.112543346892046
"chr16-72934482-72934839",0.833977749258827,0.0935311621258431,0.0272905148145293,0.0452005738008009
"chr5-133743801-133744610",0.724995493507278,0.074464738531108,0.099850679376634,0.10068908858498
"chr4-76054944-76055349",0.751513730092532,0.0798596178836863,0.104839410909917,0.0637872411138646
"chr7-69747041-69747750",0.765336785166139,0.0757750666093292,0.0671962310211167,0.0916919172034157
"chr12-122402953-122403416",0.775545332828837,0.102979756455594,0.0748392454165541,0.0466356652990151
"chr17-67909941-67910592",0.746889407944627,0.0948299956423029,0.0588675469252739,0.0994130494877958
"chr2-71473785-71475401",0.789003556331992,0.123385347678601,0.0312030436250876,0.0564080523643191
"chr3-175484682-175485339",0.747196317876749,0.100445146360403,0.0487804361906905,0.103578099572157
"chr11-16901973-16902564",0.722446027209626,0.0639478289922413,0.139661982268149,0.073944161529984
"chr4-76704462-76705091",0.7989538575117,0.0998379266948158,0.0704357523585975,0.0307724634348871
"chr16-89324311-89324638",0.68447474057128,0.103150511625881,0.129691247890364,0.0826834999124754
"chr12-11780492-11781086",0.694687082283944,0.0628580388523604,0.0712915798198552,0.171163299043841
"chr7-2565993-2566583",0.676381780921668,0.0837943165191099,0.0365194474949578,0.203304455064264
"chr1-239250205-239250954",0.762072191375581,0.121187151516671,0.0597771017746782,0.0569635553330703
