"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","GeneAnno"
"chr3-111238869-111239269",7.76442135526898e-57,6.07800891074437,0.122,0.002,1.27612147184523e-51,"cDC1","chr3-111238869-111239269","NECTIN3"
"chr2-230267446-230267875",1.14160056313577e-45,4.73309789112221,0.12,0.005,1.87627760554179e-40,"cDC1","chr2-230267446-230267875","SP140"
"chr6-33929480-33930146",2.07384352723106e-83,4.70658418163635,0.216,0.009,3.40846552918061e-78,"cDC1","chr6-33929480-33930146","RP3-468B3.2"
"chr16-70793803-70794316",1.24413578077237e-41,4.51804952341482,0.111,0.005,2.04479936248844e-36,"cDC1","chr16-70793803-70794316","VAC14"
"chr12-1226400-1227315",3.6375183838251e-39,4.47409929472639,0.105,0.005,5.97844333973574e-34,"cDC1","chr12-1226400-1227315","ERC1"
"chr9-106981401-106982088",7.98717010276809e-39,4.31363905929383,0.111,0.006,1.31273134224045e-33,"cDC1","chr9-106981401-106982088","ZNF462"
"chr5-55364332-55365104",1.59360112712247e-36,4.30962419095377,0.109,0.005,2.61916313248214e-31,"cDC1","chr5-55364332-55365104","SKIV2L2"
"chr6-63519042-63519730",1.1281724784257e-41,4.28807490740487,0.118,0.006,1.85420787691655e-36,"cDC1","chr6-63519042-63519730","PTP4A1"
"chr21-29320026-29320336",9.03310402809334e-41,4.01250685740636,0.127,0.008,1.48463581253728e-35,"cDC1","chr21-29320026-29320336","BACH1"
"chr7-3103631-3104409",1.98349351764027e-57,3.97899900644787,0.174,0.012,3.25997077091767e-52,"cDC1","chr7-3103631-3104409","AC024028.1"
"chr3-53554674-53555549",5.27168263201594e-35,3.94373180118128,0.111,0.007,8.66427398984981e-30,"cDC1","chr3-53554674-53555549","CACNA1D"
"chr2-24313697-24314350",2.97525656851787e-35,3.91493704759173,0.109,0.008,4.88998293318754e-30,"cDC1","chr2-24313697-24314350","ITSN2"
"chr15-64144395-64145275",2.82850003251818e-39,3.88163095166587,0.122,0.009,4.64878122844525e-34,"cDC1","chr15-64144395-64145275","SNX1"
"chr15-56371615-56372137",2.34438153240881e-31,3.8532705355254,0.1,0.007,3.8531082675905e-26,"cDC1","chr15-56371615-56372137","TEX9"
"chr19-34468261-34468803",2.52692418659746e-33,3.76405284610457,0.114,0.009,4.15312624688225e-28,"cDC1","chr19-34468261-34468803","UBA2"
"chr17-62794179-62794891",1.05024112721806e-36,3.61439956051258,0.129,0.011,1.72612380463924e-31,"cDC1","chr17-62794179-62794891","MARCH10"
"chr4-26193004-26193567",2.6601759886282e-36,3.59617877607316,0.129,0.011,4.37213224610988e-31,"cDC1","chr4-26193004-26193567","RBPJ"
"chr22-40803187-40804147",2.20761658808766e-38,3.56161458540319,0.138,0.012,3.62832824335148e-33,"cDC1","chr22-40803187-40804147","SLC25A17"
"chr2-190678432-190679214",2.00834567656095e-35,3.49827623663798,0.125,0.012,3.30081653671174e-30,"cDC1","chr2-190678432-190679214","NAB1"
"chr3-144433653-144434068",2.35944968508992e-29,3.47323647149759,0.105,0.01,3.87787352992953e-24,"cDC1","chr3-144433653-144434068","RNA5SP144"
"chr16-89981182-89982021",1.29521740731798e-61,3.46798801101683,0.22,0.022,2.12875456979746e-56,"cDC1","chr16-89981182-89982021","CENPBD1"
"chr19-39020907-39021496",9.7749948544197e-30,3.4484207929268,0.105,0.01,1.60656927929815e-24,"cDC1","chr19-39020907-39021496","FBXO27"
"chr7-28790525-28791293",2.59329172510259e-28,3.41578266855259,0.109,0.01,4.26220461479236e-23,"cDC1","chr7-28790525-28791293","CREB5"
"chr3-144429603-144430131",3.04672134894891e-33,3.39116821467343,0.122,0.013,5.00743887306498e-28,"cDC1","chr3-144429603-144430131","RNA5SP144"
"chr16-70804372-70804790",3.00119471102131e-32,3.38455303922611,0.12,0.012,4.93261356729907e-27,"cDC1","chr16-70804372-70804790","RP11-424M24.5"
"chr18-58814285-58814761",4.38571539503967e-28,3.3707352054532,0.102,0.011,7.20814253751745e-23,"cDC1","chr18-58814285-58814761","RP11-108P20.4"
"chr3-134103996-134104623",2.28569478182172e-30,3.24538687048829,0.12,0.013,3.75665365866308e-25,"cDC1","chr3-134103996-134104623","RYK"
"chr19-49844194-49844570",8.07221806211635e-26,3.21213315318656,0.105,0.012,1.32670939959913e-20,"cDC1","chr19-49844194-49844570","MED25"
"chr8-130808337-130809320",1.42780671657509e-31,3.18449733516879,0.125,0.015,2.34667172902698e-26,"cDC1","chr8-130808337-130809320","ADCY8"
"chr16-30439003-30440360",7.49708486309835e-37,3.12842480586067,0.147,0.019,1.23218338267453e-31,"cDC1","chr16-30439003-30440360","SEPHS2"
"chr10-48743345-48743897",2.03303112168795e-29,3.10580723126762,0.116,0.015,3.34138830005023e-24,"cDC1","chr10-48743345-48743897","WDFY4"
"chr14-73700187-73700670",2.39503077225097e-28,3.06829048063757,0.116,0.015,3.93635282573308e-23,"cDC1","chr14-73700187-73700670","DNAL1"
"chr13-22073490-22074267",5.74952274595865e-25,3.04968474692135,0.102,0.013,9.44962810912034e-20,"cDC1","chr13-22073490-22074267","LINC00540"
"chr7-101250359-101250631",2.81954084483393e-26,3.04449109484497,0.107,0.014,4.63405635552681e-21,"cDC1","chr7-101250359-101250631","FIS1"
"chr16-72934482-72934839",2.5812473952402e-26,3.02071287219944,0.105,0.014,4.24240915644703e-21,"cDC1","chr16-72934482-72934839","ZFHX3"
"chr5-133743801-133744610",2.43601249541692e-44,2.96093169513241,0.192,0.027,4.00370833684247e-39,"cDC1","chr5-133743801-133744610","FSTL4"
"chr4-76054944-76055349",5.90060799554717e-28,2.91977678693642,0.12,0.017,9.69794427108155e-23,"cDC1","chr4-76054944-76055349","ART3"
"chr7-69747041-69747750",1.43873807466752e-25,2.89600916250865,0.109,0.016,2.3646379626198e-20,"cDC1","chr7-69747041-69747750","AUTS2"
"chr12-122402953-122403416",5.59212426271295e-26,2.89476370480295,0.109,0.016,9.19093583198187e-21,"cDC1","chr12-122402953-122403416","CLIP1"
"chr17-67909941-67910592",6.02619687087423e-25,2.8522768948755,0.114,0.017,9.90435586712534e-20,"cDC1","chr17-67909941-67910592","BPTF"
"chr2-71473785-71475401",1.90900613169777e-40,2.77137195329425,0.187,0.03,3.13754702775187e-35,"cDC1","chr2-71473785-71475401","DYSF"
"chr3-175484682-175485339",7.55817887733924e-24,2.72426723983567,0.109,0.018,1.24222448938509e-18,"cDC1","chr3-175484682-175485339","NAALADL2"
"chr11-16901973-16902564",3.8101045925222e-22,2.71521489032048,0.105,0.018,6.26209740303986e-17,"cDC1","chr11-16901973-16902564","PLEKHA7"
"chr4-76704462-76705091",8.76383026584691e-24,2.70194801000173,0.109,0.018,1.44037932334327e-18,"cDC1","chr4-76704462-76705091","SHROOM3"
"chr16-89324311-89324638",1.29109641485004e-25,2.69542275182987,0.129,0.02,2.12198151262678e-20,"cDC1","chr16-89324311-89324638","ANKRD11"
"chr12-11780492-11781086",3.07903713484666e-24,2.65630182491185,0.116,0.02,5.06055148297723e-19,"cDC1","chr12-11780492-11781086","ETV6"
"chr7-2565993-2566583",1.97305960730247e-20,2.61710542448742,0.102,0.018,3.24282211758198e-15,"cDC1","chr7-2565993-2566583","IQCE"
"chr1-239250205-239250954",4.22180357146652e-38,2.53347293538128,0.2,0.038,6.9387452598838e-33,"cDC1","chr1-239250205-239250954","RP11-544D21.2"
"chr2-171846630-171848264",3.2564228723497e-26,2.45742414316312,0.145,0.027,5.35209381185035e-21,"cDC1","chr2-171846630-171848264","SLC25A12"
"chr14-90721723-90722959",1.8494614834395e-23,2.44479870036571,0.122,0.024,3.03968242110699e-18,"cDC1","chr14-90721723-90722959","TTC7B"
"chr20-16551778-16552393",1.07982371360911e-23,2.41382786003392,0.131,0.026,1.77474426450226e-18,"cDC1","chr20-16551778-16552393","AL049794.1"
"chr1-169111162-169111363",8.75841512345713e-20,2.40612168899188,0.102,0.021,1.4394893176158e-14,"cDC1","chr1-169111162-169111363","ATP1B1"
"chr2-26020201-26020771",4.14036398926785e-24,2.40023640605323,0.134,0.027,6.80489523456118e-19,"cDC1","chr2-26020201-26020771","RAB10"
"chr10-48695678-48696199",9.93873543331097e-31,2.39491432049551,0.169,0.034,1.63348086214182e-25,"cDC1","chr10-48695678-48696199","WDFY4"
"chr6-33904374-33905809",7.21730065924585e-24,2.34086551320924,0.136,0.028,1.18619944985035e-18,"cDC1","chr6-33904374-33905809","RP3-468B3.2"
"chr10-6350105-6350926",2.96924318331253e-26,2.3262413543109,0.151,0.032,4.88009963393331e-21,"cDC1","chr10-6350105-6350926","RP11-563J2.3"
"chr6-131688208-131688674",4.9759370661294e-19,2.32599223246261,0.109,0.023,8.17820136503698e-14,"cDC1","chr6-131688208-131688674","ENPP3"
"chr5-56769656-56770784",5.26891715782891e-26,2.32536850178754,0.149,0.032,8.65972879474971e-21,"cDC1","chr5-56769656-56770784","AC008940.1"
"chr15-67139991-67140818",3.72054160140769e-22,2.3240588072384,0.122,0.028,6.11489614899361e-17,"cDC1","chr15-67139991-67140818","SMAD3"
